Source;Target;Weight
5712076;53335568;1
5712076;54394844;2
5712076;59074810;8
5712076;113328052;1
5712076;174867784;2
5712076;200178841;1
5712076;192783;66
5712076;390921;6
5712076;1050442;22
5712076;1175357;13
5712076;3024203;37
5712076;5727112;8
5712076;10082644;15
5712076;11857067;6
5712076;15162325;64
5712076;25641591;7
5712076;31081467;3
5712076;40611359;22
5712076;44930663;15
5712076;54326264;10
5712076;67112610;1
5712076;92453132;11
5712076;96338204;4
5712076;96511152;2
5712076;111970057;18
5712076;113955160;1
5712076;133193922;1
5712076;136958815;6
5712076;157450467;1
5712076;170565181;4
5712076;174932144;4
5712076;179677286;2
5712076;194794224;3
5712076;202643958;4
5712076;203490269;2
9328759;14400707;37
9328759;27950389;133
9328759;63609960;21
9328759;72178198;136
9328759;75583218;25
9328759;103010015;26
9328759;103379558;68
9328759;129790404;40
9328759;152993915;48
9328759;166544315;14
9328759;170727546;2
9328759;176415008;5
9328759;5682634;27
9328759;39363232;2
9328759;50134387;5
9328759;53335568;1
9328759;54394844;9
9328759;59074810;10
9328759;100001853;8
9328759;113328052;4
9328759;157948171;4
9328759;170464776;1
9328759;174867784;5
9328759;192783;30
9328759;390921;4
9328759;1050442;14
9328759;1175357;9
9328759;3024203;18
9328759;5727112;4
9328759;9521918;1
9328759;10082644;13
9328759;11857067;8
9328759;15162325;23
9328759;25641591;9
9328759;31081467;2
9328759;40611359;10
9328759;44930663;12
9328759;54326264;8
9328759;92453132;9
9328759;96338204;2
9328759;96511152;1
9328759;111970057;8
9328759;133193922;2
9328759;136958815;2
9328759;157450467;3
9328759;170565181;3
9328759;174932144;4
9328759;179677286;1
9328759;194794224;2
9328759;202643958;1
14400707;27950389;123
14400707;63609960;8
14400707;72178198;135
14400707;75583218;9
14400707;103010015;18
14400707;103379558;50
14400707;129790404;46
14400707;152993915;51
14400707;166544315;21
14400707;170727546;1
14400707;176415008;32
14400707;5682634;12
14400707;50134387;5
14400707;53335568;2
14400707;54394844;6
14400707;59074810;12
14400707;100001853;2
14400707;174867784;1
14400707;192783;1043
14400707;390921;119
14400707;1050442;127
14400707;1175357;61
14400707;3024203;356
14400707;5727112;28
14400707;9521918;5
14400707;10082644;73
14400707;11857067;20
14400707;15162325;181
14400707;25022899;10
14400707;25641591;138
14400707;31081467;41
14400707;40611359;324
14400707;44930663;409
14400707;54326264;142
14400707;64423041;14
14400707;67112610;42
14400707;92453132;202
14400707;96151449;5
14400707;96338204;33
14400707;96511152;19
14400707;111970057;239
14400707;113955160;23
14400707;133193922;53
14400707;136958815;88
14400707;157450467;23
14400707;170565181;30
14400707;174932144;69
14400707;179677286;26
14400707;182460861;1
14400707;194794224;25
14400707;196480340;6
14400707;202643958;25
14400707;203490269;32
14400707;206541231;13
27950389;63609960;58
27950389;72178198;653
27950389;75583218;142
27950389;103010015;105
27950389;103379558;283
27950389;129790404;393
27950389;152993915;372
27950389;166544315;163
27950389;170727546;9
27950389;176415008;14
27950389;5682634;55
27950389;39363232;1
27950389;50134387;40
27950389;53335568;9
27950389;54394844;57
27950389;59074810;52
27950389;100001853;36
27950389;113328052;9
27950389;157948171;10
27950389;170464776;4
27950389;174867784;21
27950389;200178841;1
27950389;192783;75
27950389;390921;12
27950389;1050442;15
27950389;1175357;6
27950389;3024203;51
27950389;5727112;5
27950389;9521918;1
27950389;10082644;13
27950389;11857067;4
27950389;15162325;71
27950389;25641591;15
27950389;31081467;2
27950389;40611359;39
27950389;44930663;33
27950389;54326264;16
27950389;67112610;1
27950389;92453132;19
27950389;96338204;3
27950389;111970057;32
27950389;113955160;5
27950389;133193922;3
27950389;136958815;7
27950389;157450467;3
27950389;170565181;3
27950389;174932144;5
27950389;179677286;1
27950389;194794224;4
27950389;202643958;4
27950389;203490269;3
63609960;72178198;120
63609960;75583218;39
63609960;103010015;23
63609960;103379558;46
63609960;129790404;102
63609960;152993915;68
63609960;166544315;28
63609960;170727546;2
63609960;5682634;4
63609960;50134387;1
63609960;53335568;1
63609960;54394844;3
63609960;59074810;1
63609960;174867784;1
63609960;192783;4
63609960;390921;1
63609960;1050442;4
63609960;1175357;1
63609960;3024203;6
63609960;5727112;3
63609960;10082644;1
63609960;11857067;4
63609960;15162325;7
63609960;25641591;1
63609960;31081467;2
63609960;40611359;1
63609960;44930663;2
63609960;54326264;1
63609960;92453132;2
63609960;111970057;2
63609960;133193922;1
63609960;157450467;1
63609960;170565181;1
63609960;174932144;1
63609960;194794224;1
72178198;75583218;390
72178198;103010015;247
72178198;103379558;787
72178198;129790404;1217
72178198;152993915;1311
72178198;166544315;367
72178198;170727546;16
72178198;176415008;22
72178198;5682634;49
72178198;39363232;3
72178198;50134387;26
72178198;53335568;8
72178198;54394844;67
72178198;59074810;54
72178198;100001853;51
72178198;113328052;19
72178198;157948171;10
72178198;170464776;1
72178198;174867784;46
72178198;200178841;2
72178198;192783;108
72178198;390921;40
72178198;1050442;29
72178198;1175357;12
72178198;3024203;63
72178198;5727112;7
72178198;9521918;6
72178198;10082644;29
72178198;11857067;6
72178198;15162325;43
72178198;25022899;6
72178198;25641591;41
72178198;31081467;17
72178198;40611359;93
72178198;44930663;75
72178198;54326264;43
72178198;64423041;3
72178198;67112610;9
72178198;92453132;50
72178198;96151449;3
72178198;96338204;17
72178198;96511152;14
72178198;111970057;56
72178198;113955160;13
72178198;133193922;13
72178198;136958815;26
72178198;157450467;31
72178198;170565181;19
72178198;174932144;13
72178198;179677286;18
72178198;182460861;2
72178198;194794224;26
72178198;196480340;5
72178198;202643958;13
72178198;203490269;7
72178198;206541231;1
75583218;103010015;181
75583218;103379558;120
75583218;129790404;878
75583218;152993915;584
75583218;166544315;189
75583218;170727546;25
75583218;176415008;7
75583218;192561452;2
75583218;5682634;1
75583218;50134387;1
75583218;54394844;6
75583218;59074810;2
75583218;174867784;1
75583218;192783;6
75583218;390921;1
75583218;3024203;3
75583218;10082644;1
75583218;15162325;7
75583218;25641591;1
75583218;40611359;3
75583218;44930663;4
75583218;92453132;2
